rank	node	rank_score
1	SQSTM1	96.0
2	MAP1LC3B	90.8
3	GSTM3	90.0
4	EEF2	89.5
5	HSPB1	87.5
6	PINK1	84.6
7	HSPA8	82.7
8	VCP	80.2
9	LDHA	79.2
10	CASP3	76.9
11	MDH1	76.6
12	GAPDH	75.5
13	CASP7	75.2
14	CFL1	71.9
15	AGR2	70.5
16	CTNNB1	69.4
17	PEPD	67.6
18	PARK7	64.3
19	HDAC6	63.8
20	PKM	63.7
21	TPI1	61.8
22	UBE2M	59.7
23	HSPA5	59.6
24	LDHB	59.5
25	TUBB	59.4
26	CASP6	59.1
27	PPIA	59.1
28	YWHAQ	58.5
29	HSP90AA1	57.6
30	PDIA3	57.0
31	TKT	56.4
32	ENO1	56.3
33	CDK2	56.0
34	AIMP2	55.3
35	ALDOA	55.2
36	HSP90AB1	53.9
37	PRDX1	53.8
38	HSPA4	53.3
39	SERBP1	53.3
40	STAT1	52.9
41	AAR2	52.7
42	PRPF8	49.0
43	SOD1	48.0
44	PGK1	47.3
45	BAP1	46.9
46	PRDX6	45.7
47	PGD	45.0
48	CASP8	44.6
49	HSPA9	43.9
50	CASP9	43.8
51	PRDX2	42.2
52	HSPA1A	42.0
53	FKBP4	40.6
54	STIP1	38.8
55	MCM2	38.2
56	AKT1	38.0
57	ATXN3	37.4
58	SLX4	36.0
59	PIH1D1	34.8
60	EFTUD2	34.4
61	DDX39B	34.2
62	PRMT1	32.6
63	TAGLN2	31.0
64	TRIM21	30.8
65	PCBP1	30.6
66	FASN	28.2
67	AHCY	27.1
68	NPM1	27.0
69	ISG15	26.6
70	PRKCZ	26.5
71	YWHAZ	26.4
72	LRRK2	26.1
73	PRDX5	25.8
74	STUB1	25.1
75	RPS6KA1	24.6
76	CDC37	22.7
77	HNRNPA1	22.6
78	EEF1G	21.8
79	PCDH7	21.5
80	EEF1D	21.4
81	PML	20.6
82	NME1	20.5
83	AGPAT1	19.7
84	TXN	19.6
85	MSN	19.1
86	DSTN	19.1
87	FN1	19.0
88	RBM39	18.9
89	PHGDH	18.1
90	PARK2	17.5
91	XIAP	17.5
92	CEBPB	17.3
93	YWHAE	16.8
94	BAX	16.8
95	IRAK1	16.0
96	RPA1	15.9
97	ACLY	15.4
98	ACO2	15.2
99	PAICS	15.1
100	TRAF6	14.6
